output_version,output_generated_at,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
run_003,2026-07-02T16:36:58,CALL004,1,SPEAKER_2,0.0,3.4,3.4,Hello.,Customer
run_003,2026-07-02T16:36:58,CALL004,2,SPEAKER_1,5.2,9.1,3.9,"Good afternoon, ma'am. This is Pragya calling from Mahindra Adventure Activity.",Agent
run_003,2026-07-02T16:36:58,CALL004,3,SPEAKER_2,9.8,10.3,0.5,Yes.,Customer
run_003,2026-07-02T16:36:58,CALL004,4,SPEAKER_1,10.6,12.6,2.0,"I am talking to the Adventure Activity Team, ma'am.",Agent
run_003,2026-07-02T16:36:58,CALL004,5,SPEAKER_2,13.2,13.7,0.5,Tell me.,Customer
run_003,2026-07-02T16:36:58,CALL004,6,SPEAKER_1,13.9,19.4,5.5,"It's  a  small  feedback  call,  ma'am,  so  that  we  can  understand  our  customers'  preferences  for  the",Agent
run_003,2026-07-02T16:36:58,CALL004,7,SPEAKER_1,20.9,30.5,9.6,"Yes, for these future events that we will have, it will help us make them even better. And ma'am, this call",Agent
run_003,2026-07-02T16:36:58,CALL004,8,SPEAKER_1,31.8,45.9,14.1,"And ma'am, this feedback will be kept confidential. We are only going to use it for analysis purposes,",Agent
run_003,2026-07-02T16:36:58,CALL004,9,SPEAKER_2,47.0,48.9,1.9,My age is forty-two.,Customer
run_003,2026-07-02T16:36:58,CALL004,10,SPEAKER_1,49.6,55.4,5.8,"Okay, and ma'am, what is your profession? For example, are you a salaried person or self-employed?",Agent
run_003,2026-07-02T16:36:58,CALL004,11,SPEAKER_2,55.8,58.5,2.7,"No, my phone rang at 8 o'clock.",Customer
run_003,2026-07-02T16:36:58,CALL004,12,SPEAKER_1,59.1,64.5,5.4,"Okay, and ma'am, how many members are there in your family?",Agent
run_003,2026-07-02T16:36:58,CALL004,13,SPEAKER_2,65.3,65.9,0.6,Three.,Customer
run_003,2026-07-02T16:36:58,CALL004,14,SPEAKER_1,67.7,72.2,4.5,"And ma'am, how many cars do you have available in four-wheelers?",Agent
run_003,2026-07-02T16:36:58,CALL004,15,SPEAKER_2,71.9,74.7,2.8,I have two four-wheelers.,Customer
run_003,2026-07-02T16:36:58,CALL004,16,SPEAKER_1,75.2,77.2,2.0,"Okay, ma'am, can you tell me your name?",Agent
run_003,2026-07-02T16:36:58,CALL004,17,SPEAKER_2,77.8,79.4,1.6,"Seven double O, Thar.",Customer
run_003,2026-07-02T16:36:58,CALL004,18,SPEAKER_1,80.3,82.3,2.0,"Okay, seven double O and Thar, right?",Agent
run_003,2026-07-02T16:36:58,CALL004,19,SPEAKER_2,82.8,83.2,0.4,Yes.,Customer
run_003,2026-07-02T16:36:58,CALL004,20,SPEAKER_1,84.0,89.5,5.5,"Okay. And ma'am, when did you last participate in the Mahindra Adventure Activity?",Agent
run_003,2026-07-02T16:36:58,CALL004,21,SPEAKER_2,91.1,93.3,2.2,Last July 4.,Customer
run_003,2026-07-02T16:36:58,CALL004,22,SPEAKER_1,93.8,96.2,2.4,"Okay, in 2025, in July, right?",Agent
run_003,2026-07-02T16:36:58,CALL004,23,SPEAKER_2,96.6,97.1,0.5,Yes.,Customer
run_003,2026-07-02T16:36:58,CALL004,24,SPEAKER_1,97.7,102.3,4.6,"Okay, ma'am, do you remember the location or the name of the event?",Agent
run_003,2026-07-02T16:36:58,CALL004,25,SPEAKER_2,103.2,106.6,3.4,The name of the event is that.,Customer
run_003,2026-07-02T16:36:58,CALL004,26,SPEAKER_1,107.0,109.0,2.0,Great Escape or Trail Hunt?,Agent
run_003,2026-07-02T16:36:58,CALL004,27,SPEAKER_2,109.0,110.9,1.9,"It is a trail, it is a trail.",Customer
run_003,2026-07-02T16:36:58,CALL004,28,SPEAKER_1,111.5,113.5,2.0,"Okay, Trail Hunt. And ma'am, the location?",Agent
run_003,2026-07-02T16:36:58,CALL004,29,SPEAKER_2,114.2,116.5,2.3,Location: Nagpur Chokhardani.,Customer
run_003,2026-07-02T16:36:58,CALL004,30,SPEAKER_1,118.5,120.3,1.8,"The location was Nagpur, right?",Agent
run_003,2026-07-02T16:36:58,CALL004,31,SPEAKER_2,120.8,121.4,0.6,Yes.,Customer
run_003,2026-07-02T16:36:58,CALL004,32,SPEAKER_1,122.1,126.9,4.8,"Okay, and ma'am, where did you get the information about this from?",Agent
run_003,2026-07-02T16:36:58,CALL004,33,SPEAKER_2,127.7,130.6,2.9,I called my showroom from where I bought the car.,Customer
run_003,2026-07-02T16:36:58,CALL004,34,SPEAKER_1,130.9,134.2,3.3,"Okay, you got the information from the dealership.",Agent
run_003,2026-07-02T16:36:58,CALL004,35,SPEAKER_2,133.3,136.3,3.0,It is the name of a preferential dealership.,Customer
run_003,2026-07-02T16:36:58,CALL004,36,SPEAKER_1,137.1,144.8,7.7,"Okay, and ma'am, what was the thing that you found very interesting, which made you think of booking",Agent
run_003,2026-07-02T16:36:58,CALL004,37,SPEAKER_1,148.8,152.2,3.4,"As you received this information from the dealership, right?",Agent
run_003,2026-07-02T16:36:58,CALL004,38,SPEAKER_2,152.7,153.2,0.5,Yes.,Customer
run_003,2026-07-02T16:36:58,CALL004,39,SPEAKER_1,153.3,160.6,7.3,"Yes, so what was the thing, ma'am, that you found very exciting and interesting, because of which you",Agent
run_003,2026-07-02T16:36:58,CALL004,40,SPEAKER_2,161.3,175.3,14.0,"In  Nagpur,  I  think  I  hadn't  seen  it  before,  so  I  took  the  Thar  for  that  reason.  Actually,  I  also  had  a",Customer
run_003,2026-07-02T16:36:58,CALL004,41,SPEAKER_1,170.8,171.3,0.5,Okay.,Agent
run_003,2026-07-02T16:36:58,CALL004,42,SPEAKER_1,175.6,178.9,3.3,"Okay, the location was good, and you wanted to do an adventure, right?",Agent
run_003,2026-07-02T16:36:58,CALL004,43,SPEAKER_2,178.7,184.7,6.0,And the location where they had given the mapping was also very good. I had never seen it even while,Customer
run_003,2026-07-02T16:36:58,CALL004,44,SPEAKER_1,208.8,220.8,12.0,"Okay,  it's  good  to  hear  that  you  really  liked  the  location.  And  ma'am,  before  booking  the  Mahindra",Agent
run_003,2026-07-02T16:36:58,CALL004,45,SPEAKER_2,222.2,229.4,7.2,"No, we keep doing that. We don't do anything else. We keep moving the car around in the field.",Customer
run_003,2026-07-02T16:36:58,CALL004,46,SPEAKER_1,227.6,228.1,0.5,Okay.,Agent
run_003,2026-07-02T16:36:58,CALL004,47,SPEAKER_1,229.8,240.7,10.9,"And ma'am, this decision to participate in this adventure event, was it totally your own decision or your",Agent
run_003,2026-07-02T16:36:58,CALL004,48,SPEAKER_2,240.6,249.3,8.7,"No, no, it's mine. My son is eighteen years old right now, so we just keep him with us. He's about to",Customer
run_003,2026-07-02T16:36:58,CALL004,49,SPEAKER_1,249.8,258.0,8.2,"Okay, ma'am, how many days before any adventure event should you be informed so that you can",Agent
run_003,2026-07-02T16:36:58,CALL004,50,SPEAKER_2,258.3,261.9,3.6,"At least one week before, ten days before, at least ten days.",Customer
run_003,2026-07-02T16:36:58,CALL004,51,SPEAKER_2,262.7,278.1,15.4,"Because we keep our schedule completely fixed, right? Yes, yes, right. Where to go, what to do. So at",Customer
run_003,2026-07-02T16:36:58,CALL004,52,SPEAKER_1,266.0,266.9,0.9,"Yes, yes, right.",Agent
run_003,2026-07-02T16:36:58,CALL004,53,SPEAKER_1,278.5,291.0,12.5,"Okay, and ma'am, according to the last trip you liked, what was the one thing you really liked? In the",Agent
run_003,2026-07-02T16:36:58,CALL004,54,SPEAKER_2,290.1,302.5,12.4,"I just received a message from someone near Nagpur, actually from a place in Manali. So I am trying,",Customer
run_003,2026-07-02T16:36:58,CALL004,55,SPEAKER_1,302.8,313.5,10.7,"Okay, so you liked the location. Besides the location, ma'am, what other things did you like, like the",Agent
run_003,2026-07-02T16:36:58,CALL004,56,SPEAKER_2,314.1,324.3,10.2,"Everything  was  good.  I  liked  everything.  The  ride  was  good,  but  in  an  adventure,  one  should  also",Customer
run_003,2026-07-02T16:36:58,CALL004,57,SPEAKER_2,332.6,339.9,7.3,"There shouldn't be a speed limit, right? I have a speed limit of 200 kmph. I have a 2200 cc engine, so",Customer
run_003,2026-07-02T16:36:58,CALL004,58,SPEAKER_1,340.3,341.4,1.1,"Yes, yes, right.",Agent
run_003,2026-07-02T16:36:58,CALL004,59,SPEAKER_2,340.8,353.1,12.3,"I have been driving something else for a year. In an event, the task is fine for one or two times, but the",Customer
run_003,2026-07-02T16:36:58,CALL004,60,SPEAKER_1,353.6,363.9,10.3,"Okay, ma'am, definitely. We will consider it in the future. Your feedback is complete, and thank you",Agent
run_003,2026-07-02T16:36:58,CALL004,61,SPEAKER_2,364.5,365.1,0.6,Welcome.,Customer
