sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
Booking,A004,Pragya,Medium,registry_name_match,CALL004,1,SPEAKER_2,0.0,3.4,3.4,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,2,SPEAKER_1,5.2,9.1,3.9,"Good afternoon, ma'am. This is Pragya calling from Mahindra Adventure Activity.",Agent,Positive,0.6369,0.366,0.634,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,3,SPEAKER_2,9.8,10.3,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,4,SPEAKER_1,10.6,12.6,2.0,"I am talking to the Adventure Activity Team, ma'am.",Agent,Positive,0.3182,0.223,0.777,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,5,SPEAKER_2,13.2,13.7,0.5,Tell me.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,6,SPEAKER_1,13.9,19.4,5.5,"It's  a  small  feedback  call,  ma'am,  so  that  we  can  understand  our  customers'  preferences  for  the",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,7,SPEAKER_1,20.9,30.5,9.6,"Yes, for these future events that we will have, it will help us make them even better. And ma'am, this call",Agent,Positive,0.8074,0.316,0.684,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,8,SPEAKER_1,31.8,45.9,14.1,"And ma'am, this feedback will be kept confidential. We are only going to use it for analysis purposes,",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,9,SPEAKER_2,47.0,48.9,1.9,My age is forty-two.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,10,SPEAKER_1,49.6,55.4,5.8,"Okay, and ma'am, what is your profession? For example, are you a salaried person or self-employed?",Agent,Positive,0.3094,0.131,0.869,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,11,SPEAKER_2,55.8,58.5,2.7,"No, my phone rang at 8 o'clock.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,12,SPEAKER_1,59.1,64.5,5.4,"Okay, and ma'am, how many members are there in your family?",Agent,Positive,0.2263,0.16,0.84,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,13,SPEAKER_2,65.3,65.9,0.6,Three.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,14,SPEAKER_1,67.7,72.2,4.5,"And ma'am, how many cars do you have available in four-wheelers?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,15,SPEAKER_2,71.9,74.7,2.8,I have two four-wheelers.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,16,SPEAKER_1,75.2,77.2,2.0,"Okay, ma'am, can you tell me your name?",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,17,SPEAKER_2,77.8,79.4,1.6,"Seven double O, Thar.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,18,SPEAKER_1,80.3,82.3,2.0,"Okay, seven double O and Thar, right?",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,19,SPEAKER_2,82.8,83.2,0.4,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,20,SPEAKER_1,84.0,89.5,5.5,"Okay. And ma'am, when did you last participate in the Mahindra Adventure Activity?",Agent,Positive,0.4939,0.276,0.724,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,21,SPEAKER_2,91.1,93.3,2.2,Last July 4.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,22,SPEAKER_1,93.8,96.2,2.4,"Okay, in 2025, in July, right?",Agent,Positive,0.2263,0.275,0.725,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,23,SPEAKER_2,96.6,97.1,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,24,SPEAKER_1,97.7,102.3,4.6,"Okay, ma'am, do you remember the location or the name of the event?",Agent,Positive,0.2263,0.137,0.863,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,25,SPEAKER_2,103.2,106.6,3.4,The name of the event is that.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,26,SPEAKER_1,107.0,109.0,2.0,Great Escape or Trail Hunt?,Agent,Positive,0.7003,0.659,0.341,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,27,SPEAKER_2,109.0,110.9,1.9,"It is a trail, it is a trail.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,28,SPEAKER_1,111.5,113.5,2.0,"Okay, Trail Hunt. And ma'am, the location?",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,29,SPEAKER_2,114.2,116.5,2.3,Location: Nagpur Chokhardani.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,30,SPEAKER_1,118.5,120.3,1.8,"The location was Nagpur, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,31,SPEAKER_2,120.8,121.4,0.6,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,32,SPEAKER_1,122.1,126.9,4.8,"Okay, and ma'am, where did you get the information about this from?",Agent,Positive,0.2263,0.147,0.853,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,33,SPEAKER_2,127.7,130.6,2.9,I called my showroom from where I bought the car.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,34,SPEAKER_1,130.9,134.2,3.3,"Okay, you got the information from the dealership.",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,35,SPEAKER_2,133.3,136.3,3.0,It is the name of a preferential dealership.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,36,SPEAKER_1,137.1,144.8,7.7,"Okay, and ma'am, what was the thing that you found very interesting, which made you think of booking",Agent,Positive,0.5984,0.234,0.766,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,37,SPEAKER_1,148.8,152.2,3.4,"As you received this information from the dealership, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,38,SPEAKER_2,152.7,153.2,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,39,SPEAKER_1,153.3,160.6,7.3,"Yes, so what was the thing, ma'am, that you found very exciting and interesting, because of which you",Agent,Positive,0.8464,0.379,0.621,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,40,SPEAKER_2,161.3,175.3,14.0,"In  Nagpur,  I  think  I  hadn't  seen  it  before,  so  I  took  the  Thar  for  that  reason.  Actually,  I  also  had  a",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,41,SPEAKER_1,170.8,171.3,0.5,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,42,SPEAKER_1,175.6,178.9,3.3,"Okay, the location was good, and you wanted to do an adventure, right?",Agent,Positive,0.7269,0.415,0.585,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,43,SPEAKER_2,178.7,184.7,6.0,And the location where they had given the mapping was also very good. I had never seen it even while,Customer,Positive,0.4927,0.144,0.856,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,44,SPEAKER_1,208.8,220.8,12.0,"Okay,  it's  good  to  hear  that  you  really  liked  the  location.  And  ma'am,  before  booking  the  Mahindra",Agent,Positive,0.7841,0.361,0.639,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,45,SPEAKER_2,222.2,229.4,7.2,"No, we keep doing that. We don't do anything else. We keep moving the car around in the field.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,46,SPEAKER_1,227.6,228.1,0.5,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,47,SPEAKER_1,229.8,240.7,10.9,"And ma'am, this decision to participate in this adventure event, was it totally your own decision or your",Agent,Positive,0.3869,0.134,0.866,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,48,SPEAKER_2,240.6,249.3,8.7,"No, no, it's mine. My son is eighteen years old right now, so we just keep him with us. He's about to",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,49,SPEAKER_1,249.8,258.0,8.2,"Okay, ma'am, how many days before any adventure event should you be informed so that you can",Agent,Positive,0.4939,0.219,0.781,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,50,SPEAKER_2,258.3,261.9,3.6,"At least one week before, ten days before, at least ten days.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,51,SPEAKER_2,262.7,278.1,15.4,"Because we keep our schedule completely fixed, right? Yes, yes, right. Where to go, what to do. So at",Customer,Positive,0.6872,0.25,0.75,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,52,SPEAKER_1,266.0,266.9,0.9,"Yes, yes, right.",Agent,Positive,0.6597,0.844,0.156,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,53,SPEAKER_1,278.5,291.0,12.5,"Okay, and ma'am, according to the last trip you liked, what was the one thing you really liked? In the",Agent,Positive,0.7778,0.314,0.686,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,54,SPEAKER_2,290.1,302.5,12.4,"I just received a message from someone near Nagpur, actually from a place in Manali. So I am trying,",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,55,SPEAKER_1,302.8,313.5,10.7,"Okay, so you liked the location. Besides the location, ma'am, what other things did you like, like the",Agent,Positive,0.8393,0.416,0.584,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,56,SPEAKER_2,314.1,324.3,10.2,"Everything  was  good.  I  liked  everything.  The  ride  was  good,  but  in  an  adventure,  one  should  also",Customer,Positive,0.775,0.402,0.598,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,57,SPEAKER_2,332.6,339.9,7.3,"There shouldn't be a speed limit, right? I have a speed limit of 200 kmph. I have a 2200 cc engine, so",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,58,SPEAKER_1,340.3,341.4,1.1,"Yes, yes, right.",Agent,Positive,0.6597,0.844,0.156,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,59,SPEAKER_2,340.8,353.1,12.3,"I have been driving something else for a year. In an event, the task is fine for one or two times, but the",Customer,Positive,0.1027,0.06,0.94,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,60,SPEAKER_1,353.6,363.9,10.3,"Okay, ma'am, definitely. We will consider it in the future. Your feedback is complete, and thank you",Agent,Positive,0.7269,0.336,0.664,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,61,SPEAKER_2,364.5,365.1,0.6,Welcome.,Customer,Positive,0.4588,1.0,0.0,0.0,No,,False,,,,
